,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
3993,RIC,2.0,SOFT,6,8.0,13.0,16.0,0 days 00:00:55.124000,2.0,0 days 00:00:55.257000,fp2,944.0,0,1,1,0,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3994,RIC,3.0,SOFT,24,14.0,37.0,16.0,0 days 00:00:58.295000,22.0,0 days 00:00:58.910000,fp2,1120.5,0,0,0,1,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3995,RIC,4.0,MEDIUM,10,38.0,47.0,16.0,0 days 00:00:57.938000,8.0,0 days 00:00:58.243000,fp2,1137.0,1,0,0,1,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3996,NOR,1.0,MEDIUM,6,1.0,6.0,16.0,0 days 00:00:56.031000,1.0,0 days 00:00:56.031000,fp2,1066.5,0,0,1,0,2020,conventional,0 days 00:00:54.194000,0 days 00:00:54.693000,
3997,NOR,2.0,MEDIUM,5,7.0,11.0,16.0,0 days 00:00:56.123000,1.0,0 days 00:00:56.123000,fp2,1129.0,1,0,1,0,2020,conventional,0 days 00:00:54.194000,0 days 00:00:54.693000,
3998,VET,1.0,MEDIUM,11,1.0,11.0,16.0,0 days 00:00:55.830000,3.0,0 days 00:00:56.106000,fp2,1008.0,0,0,1,0,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
3999,VET,2.0,SOFT,8,12.0,19.0,16.0,0 days 00:01:02.192000,1.0,0 days 00:01:02.192000,fp2,899.0,0,1,0,1,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
4000,VET,4.0,SOFT,2,23.0,24.0,16.0,0 days 00:01:00.971000,1.0,0 days 00:01:00.971000,fp2,1035.5,0,0,0,1,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
4001,VET,7.0,MEDIUM,16,28.0,43.0,16.0,0 days 00:00:59.137000,13.0,0 days 00:00:59.565000,fp2,1110.5,1,0,0,1,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
4002,LAT,2.0,SOFT,9,10.0,18.0,16.0,0 days 00:00:55.784000,3.0,0 days 00:00:56.233000,fp2,1062.0,0,1,1,0,2020,conventional,0 days 00:00:54.796000,,
4003,LAT,4.0,SOFT,14,20.0,33.0,16.0,0 days 00:00:58.881000,11.0,0 days 00:00:59.319000,fp2,1109.5,0,0,0,1,2020,conventional,0 days 00:00:54.796000,,
4004,LAT,5.0,HARD,19,34.0,52.0,16.0,0 days 00:00:58.463000,17.0,0 days 00:00:59.117000,fp2,1117.5,1,0,0,1,2020,conventional,0 days 00:00:54.796000,,
4005,RAI,3.0,SOFT,6,12.0,17.0,16.0,0 days 00:00:55.484000,2.0,0 days 00:00:55.758500,fp2,995.0,0,1,1,0,2020,conventional,0 days 00:00:54.963000,,
4006,RAI,5.0,SOFT,15,19.0,33.0,16.0,0 days 00:00:58.281000,12.0,0 days 00:00:59.618000,fp2,1117.0,0,0,0,1,2020,conventional,0 days 00:00:54.963000,,
4007,RAI,6.0,HARD,21,34.0,54.0,16.0,0 days 00:00:58.441000,18.0,0 days 00:00:58.967500,fp2,1122.0,1,0,0,1,2020,conventional,0 days 00:00:54.963000,,
4008,GAS,1.0,MEDIUM,11,1.0,11.0,16.0,0 days 00:00:55.367000,4.0,0 days 00:00:55.562000,fp2,1077.0,0,0,1,0,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
4009,GAS,2.0,SOFT,9,12.0,20.0,16.0,0 days 00:00:55.133000,3.0,0 days 00:00:55.296000,fp2,1035.0,0,1,1,0,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
4010,GAS,3.0,SOFT,19,21.0,39.0,16.0,0 days 00:00:57.864000,16.0,0 days 00:00:58.887000,fp2,1110.5,0,0,0,1,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
4011,GAS,4.0,MEDIUM,8,40.0,47.0,16.0,0 days 00:00:58.087000,6.0,0 days 00:00:58.155000,fp2,1123.0,1,0,0,1,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
4012,PER,1.0,MEDIUM,10,1.0,10.0,16.0,0 days 00:00:55.346000,3.0,0 days 00:00:55.668000,fp2,1068.5,0,0,1,0,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
4013,PER,2.0,SOFT,6,11.0,16.0,16.0,0 days 00:00:54.866000,2.0,0 days 00:00:54.917500,fp2,986.5,0,1,1,0,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
4014,PER,4.0,SOFT,13,19.0,31.0,16.0,0 days 00:00:57.678000,9.0,0 days 00:00:58.484000,fp2,1112.5,0,0,0,1,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
4015,PER,5.0,MEDIUM,21,32.0,52.0,16.0,0 days 00:00:57.822000,18.0,0 days 00:00:58.361500,fp2,1122.0,1,0,0,1,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
4016,STR,1.0,MEDIUM,7,1.0,7.0,16.0,0 days 00:00:55.679000,2.0,0 days 00:00:55.711500,fp2,1027.5,0,0,1,0,2020,conventional,0 days 00:00:54.595000,0 days 00:00:53.840000,0 days 00:00:54.200000
